NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,Locations
NCT00168714,Pregnancy Exposure Registry for Avonex (Interferon Beta-1a),https://beta.clinicaltrials.gov/study/NCT00168714,COMPLETED,Prenatal Exposure Delayed Effects|Multiple Sclerosis|Pregnancy,DRUG: BG9418 (interferon beta-1a),Biogen,,FEMALE,"CHILD, ADULT, OLDER_ADULT",,329,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2004-02,2011-09,2011-09,"Kendle, Wilmington, North Carolina, 28405, United States"
NCT03166007,Abdominal Massage for Bowel Dysfunction,https://beta.clinicaltrials.gov/study/NCT03166007,COMPLETED,Multiple Sclerosis,BEHAVIORAL: Abdominal massage|BEHAVIORAL: Optimised bowel care,Glasgow Caledonian University,,ALL,"ADULT, OLDER_ADULT",NA,191,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-06,2017-01,2017-03,"Glasgow Caledonian University - NMAHP RU, Glasgow, Glasgow city of, G4 0BA, United Kingdom"
NCT01803867,An Intravenous Infusion Study of rHIgM22 in Patients With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT01803867,COMPLETED,Multiple Sclerosis,DRUG: rHIgM22,Acorda Therapeutics,PRA Health Sciences,ALL,"ADULT, OLDER_ADULT",PHASE1,72,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2013-03,2014-10,2015-01,"Acorda Investigational Site, Long Beach, California, 90806, United States|Acorda Investigational Site, Palo Alto, California, 04158, United States|Acorda Investigational Site, Sacramento, California, 95817, United States|Acorda Investigational Site, Stanford, California, 94305-5235, United States|Acorda Investigational Site, Aurora, Colorado, 80045, United States|Acorda Investigational Site, Centennial, Colorado, 80112, United States|Acorda Investigational Site, Indianapolis, Indiana, 46202, United States|Acorda Investigational Site, Kansas City, Kansas, 66160, United States|Acorda Investigational Site, Baltimore, Maryland, 22125, United States|Acorda Investigational Site, St. Louis, Missouri, 63131, United States|Acorda Investigational Site, Rochester, New York, 14642, United States|Acorda Investigational Site, Providence, Rhode Island, 02905, United States|Acorda Investigational Site, Knoxville, Tennessee, 37920, United States|Acorda Investigational Site, Dallas, Texas, 75390-9036, United States|Acorda Investigational Site, Burlington, Vermont, 05401, United States|Acorda Investigational Site, Seattle, Washington, 98101, United States|Acorda Investigational Site, Seattle, Washington, 98122, United States"
NCT04300543,MicroRNA-150 and microRNA-155 in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT04300543,UNKNOWN,Multiple Sclerosis,,Assiut University,,ALL,"ADULT, OLDER_ADULT",,140,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-04,2021-04,2021-10,
NCT02727907,Study of Efficacy and Safety of Drugs BCD-033 and Rebif for Treatment of Patients With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT02727907,COMPLETED,Multiple Sclerosis,DRUG: BCD-033 (interferon beta 1a)|DRUG: Rebif (interferon beta 1a)|DRUG: Placebo,Biocad,,ALL,ADULT,PHASE2|PHASE3,163,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2015-02-12,2016-11-21,2017-08-11,"Scientific neurology center, RAS, Moscow, Russian Federation"
NCT00619307,Transition to Rebif New Formulation,https://beta.clinicaltrials.gov/study/NCT00619307,COMPLETED,Relapsing Multiple Sclerosis,DRUG: Rebif New Formulation + prophylactic Ibuprofen|DRUG: Rebif New Formulation + ibuprofen PRN,"Merck KGaA, Darmstadt, Germany",,ALL,ADULT,PHASE3,117,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2007-07,2008-04,2008-04,"Local Medical Information, Paris, France|Local Medical Information, Munich, Germany"
NCT00668343,Simvastatin in Relapsing Remitting Multiple Sclerosis (RRMS) Patients Using Avonex Compared to Placebo,https://beta.clinicaltrials.gov/study/NCT00668343,COMPLETED,Relapsing Remitting Multiple Sclerosis,DRUG: simvastatin|DRUG: placebo,Tehran University of Medical Sciences,,ALL,"CHILD, ADULT",PHASE3,80,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2005-04,2008-03,2009-03,"Sanaz Ahmadi, Tehran, 0098, Iran, Islamic Republic of"
NCT01201707,Evaluation of Angioplasty in the Treatment of Chronic Cerebrospinal Venous Insufficiency (CCSVI) in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT01201707,TERMINATED,Multiple Sclerosis,PROCEDURE: Angioplasty|OTHER: Observation,"Community Care Physicians, P.C.",,ALL,ADULT,NA,18,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2010-08,2013-09,2013-09,"Albany Medical Center, Albany, New York, 12208, United States|Image Care Latham, Latham, New York, 12110, United States"
NCT02609607,Treating Anorectal Dysfunction in MS,https://beta.clinicaltrials.gov/study/NCT02609607,TERMINATED,Constipation|Fecal Incontinence|Multiple Sclerosis,DRUG: Bisacodyl|OTHER: Placebo,David Levinthal,Consortium of Multiple Sclerosis Centers,ALL,"ADULT, OLDER_ADULT",PHASE2,11,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2016-06,2018-11,2018-12,"University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, 15213, United States"
NCT01864707,Acupuncture or MBSR for Patients With Fatigue and MS,https://beta.clinicaltrials.gov/study/NCT01864707,COMPLETED,Fatigue|Multiple Sclerosis,OTHER: Usual care + acupuncture|OTHER: usual care+mbsr|OTHER: usual care,"Charite University, Berlin, Germany",,ALL,"ADULT, OLDER_ADULT",NA,104,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2013-04,2015-06,2015-10,"The NeuroCure Clinical Research Center, Charité - Universitätsmedizin Berlin, Berlin, 10117, Germany"
NCT00755807,Duloxetine for Multiple Sclerosis Pain,https://beta.clinicaltrials.gov/study/NCT00755807,COMPLETED,Multiple Sclerosis,DRUG: Duloxetine Hydrochloride (HCI)|DRUG: Placebo,Eli Lilly and Company,,ALL,"ADULT, OLDER_ADULT",PHASE3,239,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2008-10,2010-08,2010-11,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Birmingham, Alabama, 35294, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Phoenix, Arizona, 85018, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Tucson, Arizona, 85741, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Aurora, Colorado, 80045, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Denver, Colorado, 80204, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Bradenton, Florida, 34205, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Lenexa, Kansas, 66214, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Roseville, Michigan, 48066, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., St Louis, Missouri, 63141, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Charlotte, North Carolina, 28207, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Bismarck, North Dakota, 58501, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Akron, Ohio, 44320, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Cincinnati, Ohio, 45219, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Oklahoma City, Oklahoma, 73109, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Portland, Oregon, 97225, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Allentown, Pennsylvania, 18102, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Melsbroek, 1820, Belgium|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Winnipeg, Manitoba, R3A 1R9, Canada|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Greenfield Park, Quebec, J4V 2J2, Canada|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Lublin, 20-090, Poland|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Szczecin, 70-215, Poland|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Wroclaw, 50-556, Poland"
NCT05007483,Efficacy of Diet on Quality of Life in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT05007483,RECRUITING,"Multiple Sclerosis, Relapsing-Remitting",DIETARY_SUPPLEMENT: BodyBio Balance Oil|DIETARY_SUPPLEMENT: Kirunal Fish Oil|DIETARY_SUPPLEMENT: BodyBio PC|BEHAVIORAL: Modified Paleolithic Elimination diet|BEHAVIORAL: Time Restricted Olive Oil Based (TROO) Ketogenic Diet|BEHAVIORAL: Usual diet with Dietary Guidelines for Americans Diet information,Terry L. Wahls,,ALL,"ADULT, OLDER_ADULT",NA,156,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2022-02-10,2025-03-01,2026-03-01,"Univeristy of Iowa, Iowa City, Iowa, 52246, United States"
NCT05242133,Efficacy and Safety of Peginterferon Beta-1a (CinnaGen) in Participants With Relapsing Remitting Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT05242133,COMPLETED,Relapsing Remitting Multiple Sclerosis (RRMS),DRUG: Pegylated interferon beta-1a|DRUG: Interferon Beta-1A Prefilled Syringe,Cinnagen,,ALL,ADULT,PHASE3,168,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2017-12-20,2022-04-27,2022-04-27,"Sina Hospital, Tehran, Iran, Islamic Republic of"
NCT01704183,Effect of Fingolimod on the Cardiac Autonomic Regulation in Patients With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT01704183,COMPLETED,Relapse-remitting Multiple Sclerosis,,Kuopio University Hospital,,ALL,"ADULT, OLDER_ADULT",,27,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2012-12,2014-03,2014-03,"Neuro Center, Kuopio University Hospital, Kuopio, Finland|Department of Neurology, Mikkeli Central Hospital, Mikkeli, Finland"
NCT00617383,AT RISK FOR MS - Clinical Conversion of Female Monozygotic Twins Discordant for CIS/MS,https://beta.clinicaltrials.gov/study/NCT00617383,COMPLETED,Multiple Sclerosis|Clinically Isolated Syndrome,,"The University of Texas Health Science Center, Houston",National Multiple Sclerosis Society,FEMALE,"CHILD, ADULT",,3,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2008-02,2010-12,2010-12,"University of Texas - Houston, Houston, Texas, 77030, United States"
NCT03785483,Implementation Intention for Physical Activity in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT03785483,UNKNOWN,Motivation|Mindfulness,BEHAVIORAL: Motivation,University of Paris 5 - Rene Descartes,CeRSM|COMUE|Poissy-Saint Germain Hospital|Hôpital Raymond Poincaré|Paris West University Nanterre La Défense|Cite Sep,ALL,"ADULT, OLDER_ADULT",NA,45,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2018-12-30,2019-06-15,2019-06-30,"Hôpital Raymond-Poincaré, Garches, 92380, France|CHU Poissy Saint germain, Poissy, 78300, France"
NCT05062083,PET Imaging of Cyclooxygenase-2 in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT05062083,RECRUITING,Multiple Sclerosis,DRUG: 11C-MCI|DRUG: 11C-PS13,National Institute of Mental Health (NIMH),University of Maryland,ALL,"ADULT, OLDER_ADULT",PHASE2,16,NIH,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2022-06-07,2025-04-11,2025-04-11,"National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States"
NCT02644083,Tecfidera and MRI for Brain Energy in MS,https://beta.clinicaltrials.gov/study/NCT02644083,TERMINATED,Multiple Sclerosis,DRUG: Dimethyl fumarate,Oregon Health and Science University,Biogen,ALL,ADULT,,4,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2016-02,2018-07,2018-07,"Oregon Health & Science University, Portland, Oregon, 97239, United States"
NCT03424733,Evaluating the Use of Prednisone to Decrease Pegylated Interferon Beta-1a Side Effects,https://beta.clinicaltrials.gov/study/NCT03424733,UNKNOWN,Multiple Sclerosis,DRUG: Plegridy|DRUG: Prednisone|DRUG: Tylenol Pill,"Holy Name Medical Center, Inc.",Biogen,ALL,"ADULT, OLDER_ADULT",PHASE4,50,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: PREVENTION,2017-09-25,2020-05-01,2020-05-31,"Holy Name Medical Center, Teaneck, New Jersey, 07666, United States"
